EQUIPES;V;D;% VIT.;JA;CASA;VISITANTE;DIV;CONF;PTS;PTS CONTRA;DIF;STRK;U10
Los Angeles Lakers;49;14;.778;-;23-8;26-6;9-2;33-7;114.3;106.9;+7.4;D1;8-2
LA Clippers;44;20;.688;5.5;25-7;19-13;8-4;27-14;116.2;109.7;+6.5;V1;7-3
Denver Nuggets;43;22;.662;7;25-8;18-14;10-1;26-13;110.4;107.4;+3.0;D1;5-5
Utah Jazz;41;23;.641;8.5;21-10;20-13;5-5;21-16;111.0;107.9;+3.1;D1;5-5
Oklahoma City Thunder;40;24;.625;9.5;20-13;20-11;7-4;25-15;110.8;108.3;+2.5;V3;8-2
Houston Rockets;40;24;.625;9.5;22-10;18-14;7-4;25-17;118.1;114.4;+3.7;V1;6-4
Dallas Mavericks;40;27;.597;11;19-15;21-12;10-3;25-15;116.4;110.3;+6.1;V1;6-4
Memphis Grizzlies;32;33;.492;18;18-15;14-18;4-7;19-22;112.6;113.7;-1.1;D1;4-6
Portland Trail Blazers;29;37;.439;21.5;18-14;11-23;4-8;16-26;113.6;115.3;-1.7;V1;4-6
New Orleans Pelicans;28;36;.438;21.5;13-19;15-17;3-8;17-25;116.2;117.0;-0.8;V2;5-5
Sacramento Kings;28;36;.438;21.5;14-17;14-19;7-5;20-20;109.0;110.9;-1.9;D1;7-3
San Antonio Spurs;27;36;.429;22;16-14;11-22;4-6;15-21;113.2;114.9;-1.7;V1;5-5
Phoenix Suns;26;39;.400;24;13-22;13-17;5-9;15-27;112.6;113.9;-1.3;D1;4-6
Minnesota Timberwolves;19;45;.297;30.5;8-24;11-21;2-10;9-30;113.3;117.5;-4.2;D3;3-7
Golden State Warriors;15;50;.231;35;8-26;7-24;2-11;9-34;106.3;115.0;-8.7;D1;3-7
